F1,College or VP,Program Name,Description,URL,Inclusive Excellence area,Notes,constituent group
199,Undergraduate Academic Affairs,Virginia Indians Pre-College Outreach Initiative,"This pre-college program collaborates with Tribal leaders to promote a college-going culture within Virginia Indian Nations, and to increase the number of Virginia Indian youth in the college-bound pool.. Mary Grace Campos, mcampos@vt.edu",,,,
,Undergraduate Academic Affairs,Summer Bridge Program,"The Summer Bridge Program (SBP), funded by a STEP grant from the National Science Foundation, promotes retention and academic success of women and underrepresented minorities in the physical and quantitative sciences. Entering freshman spend three weeks in a team- and problem-based format preparing for the math and research skills needed to succeed in their majors.",,,,
,Undergraduate Academic Affairs,Curie and DaVinci Living Learning Communities,Curie and DaVinci are funded by a STEP grant from the National Science Foundation and a Virginia Tech Pathways to Success First-Year Experience grant (FYE). These multigenerational living-learning communities promote retention and academic success for science  majors with particular emphasis on women and underrepresented students.,,,,
,Undergraduate Academic Affairs,University Honors Calhoun Scholarships,"Merit scholarships available to incoming University Honors students who are first generation or from underrepresented groups. Variable award from $1,000 - to full tuition, fees, room and board annually.",http://www.univhonors.vt.edu/html/scholarships_recruitment.html,,,
,Undergraduate Academic Affairs,Expand Underrepresented Recruitment Programs,This initiative will expand current recruitment programs that focus on increasing underrepresented students. Fall Visitation and Gateway have been flagship programs for the Admissions office for several years. This initiative will seek ways to expand the number of students that are being served by these programs as well as create smaller one day programs throughout the recruitment cycle.,,Access and Success,,
,Undergraduate Academic Affairs,The Hispanic College Institute (HCI),The three-day program is for Hispanic high school sophomores and juniors in the Commonwealth of Virginia. The Virginia Latino Higher Education Network (VALHEN) started the event in 2012 to combat myths and misconceptions about the college search process and prepare Hispanic students for college. Virginia Tech has won the bid to host this event on our campus. ,,Access and Success,,
,Undergraduate Academic Affairs,First Generation/Underrepresented Student Pathway,"First Generation students struggle to navigate the next steps after being offered admission. This effort will focus on that transition from high school to college and identify resources available to the students. A publication will be created that provides a roadmap for the students to follow as they familiarize themselves with the Virginia Tech culture and community. Direct contacts in admissions, financial aid, and other key offices will be identified for these students to reach out to if they need assistance. This effort will also identify existing programs embedded in the various colleges and departments that are often unknown to these students.",,Access and Success,,
,Undergraduate Academic Affairs,Admissions Undergraduate Diversity Initiatives,"The Office of Undergraduate Admissions uses a variety of strategies to build a diverse freshman class by workings with guidance counselors, building networks with churches and communities, and special events on campus. ",,Access and Success,,
,Undergraduate Academic Affairs,Fall Visitation Program,The Fall Visitation is a college information program that is designed with the needs and interests of under-represented students in mind. Fall visitation is open to all students.,https://secure.hosting.vt.edu/www.admiss.vt.edu/visit/register/index.php/fallvisitation,Access and Success,,
,Undergraduate Academic Affairs,Gateway,"Undergraduate Admissions plans and implements this invitational, on-campus yield program in the spring semester. Gateway is open to all students who have been offered admission to Virginia Tech, and is designed with the interests and needs of under- represented students in mind.",https://secure.hosting.vt.edu/www.admiss.vt.edu/visit/register/index.php/gateway,Access and Success,,
,Undergraduate Academic Affairs,Yates Project,"The Yates Project is a selective student recruiting group in Undergraduate Admissions. Members make presentations and network with prospective students in the community, church and school groups in their hometowns. Application and selection for the Yates Project occurs in the fall semester. Students are awarded a stipend upon completion of program requirements. ",http://www.admiss.vt.edu/the-yates-project/,Access and Success,,
,Undergraduate Academic Affairs,Black Alumni Scholarship,"The Virginia Tech Black Alumni Endowed Scholarship is a competitive award designed to recognize and reward academically talented students who have a proven record of academic excellence and leadership potential. All incoming first-year, full time freshmen may apply. Preference will be given to students with financial need.",http://www.alumni.vt.edu/blackalumni/reunion.scholarship.html ,Access and Success,,
,Undergraduate Academic Affairs,Groove Phi Groove Endowed Scholarship,This scholarship was created in honor of the first African American organization established at Virginia Tech. Groove Phi Groove was instrumental in paving the way for future African American organizations to be formed at Virginia Tech. The scholarship is available for students who may not qualify for other financial aid. Preference is given to students who espouse the original values of Groove Phi Groove which place emphasis on active participation in campus life. ,http://www.diversity.vt.edu/giving/documents/listing.pdf,Access and Success,,
,Undergraduate Academic Affairs,Presidential Campus Enrichment Grant (PCEG),"PCEG aims to enhance the multicultural and academic experiences of students. All incoming freshmen are encouraged to apply. Selection criteria include activities of students before arriving at Virginia Tech, as well as their commitment to educational diversity. Academic achievement, financial status and family educational background are also considered.",http://www.finaid.vt.edu/types_of_aid/University-Scholarships/PresidentialScholarshipPrograms/presedential-campus-enrichment-grant/pceg.html,Access and Success,,
,Undergraduate Academic Affairs,Presidential Scholarship Initiative (PSI),"The Virginia Tech Presidential Scholarship Initiative is a competitive scholarship program for low-income high school students in the Commonwealth. Each year up to 50 Pell Grant-eligible Virginia residents are awarded renewable, four-year scholarships. All students who are eligible for the Pell Grant are automatically considered for the Presidential Scholarship.",http://www.finaid.vt.edu/presentations/PSIFunding,Access and Success,,
,Undergraduate Academic Affairs,Benjamin Stallings and Kimberly Stallings Endowed Scholarship,"Dr. Benjamin Stallings, and his wife Kimberly Stallings, established this scholarship to provide opportunity for students to receive a Virginia Tech education. and to achieve their educational dreams. Preference is given to students who anticipate a career in the medical profession. In addition, students from Petersburg High School are also particularly encouraged to apply.",http://www.diversity.vt.edu/giving/documents/listing.pdf,Access and Success,,
144,Black Faculty and Staff Caucus at Virginia Tech,Black Faculty and Staff Caucus at Virginia Tech,"The purpose of the Black Faculty/Staff caucus shall be to promote the well being of Black faculty, staff and students of Virginia Tech; to assertively push for the recruitment of Black faculty, staff and students; to assist in the recruitment and retention of Black undergraduate and graduate students at Virginia Tech; to encourage equitable utilization of Black faculty, staff and students throughout the university community; to be a liaison between the Black faculty, staff and students and the university administration; and to organize and maintain a support network for Black faculty, staff and students at Virginia Tech.",http://vtblackcaucus.webstarts.com/index.html,Campus Climate and Intergroup Relations,,
,Black Teach-Ins,Black Teach-Ins,"The teach-ins support a key objective from the  Campus Climate and Intergroup Relations dimension as outlined in VTBC’s strategic plan: Objective: “Create opportunities for African-American faculty, staff, and students to  interact  through lecture series, colloquia, and symposia.” The purpose of the teach-ins is to provide an opportunity for black faculty, staff, and  undergraduate and graduate  students to  have intellectual discussions outside the classroom and to  promote a sense of community through shared intellectual experiences. Participants will be able to explore ideas not commonly engaged in university classrooms and will have their own space  to raise questions or offer thoughts that are important to them.",,,,
145,LGBT Caucus at Virginia Tech,LGBT Caucus at Virginia Tech,"The Lesbian, Gay, Bisexual, and Transgender Caucus at Virginia Tech formed in 1992 as an affiliate of the Women's Network. The Caucus purpose is improving the working and learning environment for gay, lesbian, bisexual, and transgender members of Virginia Tech and the surrounding community. LGBT Caucus membership is open to all Virginia Tech faculty, staff, graduate students, and individuals who support the objectives of the Caucus. By bringing concerns about retention, classroom climate, or other issues to the attention of the administration, providing educational programs to the larger community, and partnering with other campus groups like the Lesbian, Gay, Bisexual and Transgender Alliance (LGBTA), the undergraduate student group, to host public events, the Caucus aims to foster an atmosphere of understanding at the University, thereby improving productivity and quality of life at Virginia Tech for all employees and students. The Caucus works closely with various offices across campus to plan programs and increase awareness of diversity at Virginia Tech.",http://www.vtlgbtcaucus.org/vt/,Campus Climate and Intergroup Relations,,
214,Gay in Appalachia,Gay in Appalachia,"""The Gay in Appalachia series has focused on building an inclusive community by exploring various issues through the art.""  ",,Campus Climate and Intergroup Relations,,
,Lavendar Ceremony,Lavender Ceremony,"Virginia Tech’s Lavender Ceremony recognizes lesbian, gay, transgender, and bisexual students and their allies who are receiving their undergraduate or graduate degree. This special celebration honors students from all majors and disciplines, and traditionally occurs two days before spring commencement. Graduates receive a unique rainbow cord that can be worn with pride with their academic regalia. ",,,,
,Lambda Horizon Scholarship,Lambda Horizon Scholarship,"The Lambda Horizons Scholarship, presented by the LGBT Caucus at Virginia Tech, is available to students who have made contributions to the LGBT community through leadership, service, volunteering or research.",,Access and Success,,
146,Hispanic and Latino Faculty and Staff Caucus,,"The Hispanic and Latino Faculty Staff Caucus (the Hispanic Caucus) collaborates with the University Administration for the recruitment and retention of Hispanic/Latino faculty, staff, and students. We also support community efforts that commemorate the diverse cultures in this region. The Caucus aims to enhance the quality of education and life for all faculty, staff and students at Virginia Tech and residents in surrounding communities. The Caucus was first formed in late Spring 2002, and began meeting in Fall 2002. The Caucus has a representative on the University-wide Commission on Equal Opportunity and Diversity, and is involved with the Multicultural Fellows program. The Caucus also works closely with the various Hispanic/Latino student organizations.",http://www.hfsc.org.vt.edu/about.html,Campus Climate and Intergroup Relations,,
148,Native American Faculty and Staff Caucus,Native American Faculty and Staff Caucus,The Native American Faculty / Staff caucus is in formation.,"Contact Sam Cook, sacook2@vt.edu or Barbara Lockee,  lockeebb@vt.edu",Campus Climate and Intergroup Relations,,
147,Asian/Asian American Faculty and Staff Caucus,Asian/Asian American Faculty and Staff Caucus,The Asian/Asian American Faculty/ StaffCaucus is in formation.,"Contact Jennifer Sano-Franchini, sanojenn@vt.edu",Campus Climate and Intergroup Relations,,
149,International Faculty and Staff Caucus,International Faculty and Staff Caucus,The International Faculty / Staff caucus is in formation.,"Contact Amer Fayad, afayad@vt.edu",Campus Climate and Intergroup Relations,,
